tconst,title,region,language,primaryTitle,originalTitle,startYear,genres,directors,writers
tt11253800,28 Malayalam Movie,IN,ml,28,28,2019.0,"Crime,Drama,Thriller",nm11113390,nm11113390
tt11281192,Khalb,IN,ml,Qalb,Qalb,2024.0,"Drama,Romance",nm6325282,"nm10797714,nm6325282"
tt11295974,Ellam Shariyakum,IN,ml,Ellam Sheriyakum,Ellam Sheriyakum,2021.0,Drama,nm1953961,"nm8920190,nm11137171,nm11137170"
tt11322920,AK Ayyappanum Koshiyum,IN,ml,Ayyappanum Koshiyum,Ayyappanum Koshiyum,2020.0,"Action,Drama,Thriller",nm2819123,nm2819123
tt11405158,Oru Mass Katha Veendum,IN,ml,Oru Mass Kadha Veendum,Oru Mass Kadha Veendum,2019.0,Comedy,nm11186298,nm11186298
tt11497592,Irandam Kuththu,IN,ta,Irandam Kuththu,Irandam Kuththu,2020.0,"Comedy,Drama,Horror",nm9103190,"nm9103190,nm8194298"
tt11531530,Varane Aavashyamund,IN,ml,Varane Avashyamund,Varane Avashyamund,2020.0,"Comedy,Drama,Romance",nm4519806,"nm4519806,nm7964656"
tt11531710,Thamezharasan,IN,ta,Thamilarasan,Tamilarasan,2023.0,"Action,Crime,Drama",nm1898168,nm1898168
tt11536072,Gauthamante Ratham,IN,ml,Gauthamante Radham,Gauthamante Radham,2020.0,Comedy,"nm7243877,nm11241276",nm11241276
tt11558628,Member Rameshan Onbatham Ward,IN,ml,Member Rameshan 9am Ward,Member Rameshan 9am Ward,2022.0,"Comedy,Drama","nm11251167,nm11251166","nm11251167,nm11251166"
tt11580854,Sarpatta,IN,ta,Sarpatta Parambarai,Sarpatta parambarai,2021.0,"Action,Drama,Sport",nm3163794,"nm12804700,nm3163794"
tt11581692,Oru Njayarazcha,IN,ml,A Sunday,Oru Njayarazhcha,2019.0,Drama,nm0796119,nm0796119
tt11591490,Oru Rathri Oru Pakal,IN,ml,A Night A Day,A Night A Day,2019.0,,nm6509373,nm6509373
tt11604676,Naayaattu,IN,ml,Nayattu,Nayattu,2021.0,"Crime,Thriller",nm3964043,nm9909582
tt11730914,Maaran,IN,ta,Maaran,Maaran,2022.0,"Action,Thriller",nm8678191,"nm9920220,nm9920219,nm6802054"
tt11731024,Shadow of the Night,IN,ta,Iravin Nizhal,Iravin Nizhal,2022.0,"Action,Drama,Mystery",nm1011887,nm1011887
tt11731768,Kanavar Peyar Ranasingam,IN,ta,Ka Pae Ranasingam,Ka Pae Ranasingam,2020.0,Drama,nm11327313,nm11327313
tt11772576,Biskoth,IN,ta,Biskoth,Biscoth,2020.0,Comedy,nm1583171,nm1583171
tt11772644,Backpackers - Love is Cure,IN,ml,Backpack,Backpack,2021.0,Drama,nm0415852,
tt11779210,Pachamaanga,IN,ml,Pachamanga,Pachamanga,2020.0,"Action,Drama",nm8358261,"nm8358261,nm2839113"
tt11779640,Vaanku,IN,ml,Vaanku,Vaanku,2021.0,"Comedy,Drama,Family",nm11348109,nm11357518
tt11803618,Care of Kaadhal,IN,ta,C/O Kaadhal,C/O Kaadhal,2021.0,Drama,nm1769322,"nm9284362,nm5237659"
tt11952776,Karnan Napoleon Bhagatsingh,IN,ml,Karnan Napoleon Bhagat Singh,Karnan Napoleon Bhagat Singh,2022.0,"Mystery,Thriller",nm8696376,nm8696376
tt11992424,Saptha Sagaradaache Ello - Side A,IN,kn,Saptha Sagaradaache Ello - Side A,Sapta Sagaradaache Ello: Side A,2023.0,"Drama,Romance","nm9634132,nm15216018","nm9634132,nm15216018"
tt12139560,Maradu 357,IN,ml,Vidhi,Vidhi,2021.0,Drama,nm7509231,nm7509232
tt12144092,KAK,IN,ta,Kanmani Anbodu Kathalan,Kanmani Anbodu Kathalan,2020.0,"Comedy,Romance",nm10993345,nm10993345
